,id_plataform,type,title,release_year,rating,duration,score
15368,n,movie,hospital,2020,TV-MA,90 min,86
15369,n,movie,jiu jitsu,2020,R,102 min,88
15370,n,tv show,mighty morphin power rangers,2010,TV-Y7,4 Seasons,55
15371,n,tv show,alien tv,2021,TV-Y7,2 Seasons,81
15372,n,tv show,country comfort,2021,TV-PG,1 Season,61
15373,n,tv show,formula 1: drive to survive,2021,TV-MA,3 Seasons,17
15374,n,movie,reframe theater experience with you,2020,TV-G,84 min,51
15375,n,movie,the yin yang master,2021,TV-14,120 min,2
15376,n,movie,who's the boss,2020,TV-MA,106 min,57
15377,n,tv show,b: the beginning,2021,TV-MA,2 Seasons,46
15378,n,movie,deadly illusions,2021,R,115 min,92
15379,n,movie,get the goat,2021,TV-14,98 min,91
15380,n,movie,nate bargatze: the greatest average american,2021,TV-G,60 min,22
15381,n,movie,skylines,2020,R,113 min,71
15382,n,movie,the fluffy movie,2014,PG-13,101 min,12
15383,n,movie,the present,2020,TV-MA,24 min,3
15384,n,movie,wave of cinema: 90's generation,2020,TV-PG,51 min,80
15385,n,movie,catch.er,2017,TV-14,80 min,90
15386,n,movie,operation varsity blues: the college admissions scandal,2021,R,100 min,60
15387,n,tv show,under suspicion: uncovering the wesphael case,2021,TV-14,1 Season,48
15388,n,movie,get on up,2014,PG-13,139 min,4
15389,n,movie,rebellcomedy: straight outta the zoo,2021,TV-MA,74 min,55
15390,n,movie,savages,2012,R,131 min,53
15391,n,tv show,waffles + mochi,2021,TV-Y,1 Season,15
15392,n,tv show,abla fahita: drama queen,2021,TV-14,1 Season,81
15393,n,movie,c/o kaadhal,2021,TV-14,131 min,3
15394,n,movie,the bfg,2016,PG,118 min,30
15395,n,movie,the last blockbuster,2020,TV-14,87 min,97
15396,n,tv show,the lost pirate kingdom,2021,TV-MA,1 Season,34
15397,n,tv show,zero chill,2021,TV-G,1 Season,53
15398,n,movie,audrey,2020,TV-14,101 min,46
15399,n,movie,çarsi pazar,2015,TV-MA,97 min,6
15400,n,movie,just in time,2020,TV-G,92 min,57
15401,n,tv show,love alarm,2021,TV-MA,2 Seasons,62
